brand,keywords,alias,category1,category2,category3,score
AMILD,bilikbersenyawa,bilikbersenyawa,Activity/engagement,Lokal,KOL Nasional,3
AMILD,bukansumpahbiasa,bukansumpahbiasa,Activity/engagement,Lokal,KOL Nasional,3
AMILD,campeople,campeople,Activity/engagement,Lokal,KOL Nasional,3
AMILD,camppeople,camppeople,Activity/engagement,Lokal,KOL Nasional,3
AMILD,cocreation,cocreation,Activity/engagement,Lokal,KOL Nasional,3
AMILD,collaboraction,collaboraction,Activity/engagement,Lokal,KOL Nasional,3
AMILD,collartboration,collartboration,Activity/engagement,Lokal,KOL Area,3
AMILD,datangdudukkumpul,datangdudukkumpul,Activity/engagement,Lokal,KOL Area,3
AMILD,energyflush,energyflush,Activity/engagement,Lokal,KOL Area,3
AMILD,euforiau,euforiau,Activity/engagement,Lokal,KOL Nasional,3
AMILD,flagshow,flagshow,Activity/engagement,Lokal,KOL Area,3
AMILD,flagsshow,flagsshow,Activity/engagement,Lokal,KOL Area,3
AMILD,folkmusicfestival,folkmusicfestival,Activity/engagement,Lokal,KOL Nasional,3
AMILD,gresikweloud,gresikweloud,Activity/engagement,Lokal,KOL Area,3
AMILD,hanalanaqube,hanalanaqube,Activity/engagement,Lokal,KOL Area,3
AMILD,horehoofrock,horehoofrock,Activity/engagement,Lokal,KOL Area,3
AMILD,horehoreho,horehoreho,Activity/engagement,Lokal,KOL Nasional,3
AMILD,hypeast,hypeast,Activity/engagement,Lokal,KOL Area,3
AMILD,hypeastproject,hypeastproject,Activity/engagement,Lokal,KOL Area,3
AMILD,iniworthit,iniworthit,Activity/engagement,Lokal,KOL Nasional,3
AMILD,jakarta32,jakarta32,Activity/engagement,Lokal,KOL Nasional,3
AMILD,jayabayabadi,jayabayabadi,Activity/engagement,Lokal,KOL Area,3
AMILD,jemberweloud,jemberweloud,Activity/engagement,Lokal,KOL Area,3
AMILD,jkt_moodsmayday,jkt_moodsmayday,Activity/engagement,Lokal,KOL Area,3
AMILD,kelaspagi,kelaspagi,Activity/engagement,Lokal,KOL Nasional,3
AMILD,kelaspagibergerak,kelaspagibergerak,Activity/engagement,Lokal,KOL Area,3
AMILD,keluargabayk,keluargabayk,Activity/engagement,Lokal,KOL Nasional,3
AMILD,keluartumbuhliar,keluartumbuhliar,Activity/engagement,Lokal,KOL Nasional,3
AMILD,kemenbudur,kemenbudur,Activity/engagement,Lokal,KOL Area,3
AMILD,kementrianbudayaurban,kementrianbudayaurban,Activity/engagement,Lokal,KOL Area,3
AMILD,klubgerah,klubgerah,Activity/engagement,Lokal,KOL Area,3
AMILD,kolektipngawur,kolektipngawur,Activity/engagement,Lokal,KOL Nasional,3
AMILD,komplotanjakarta32c,komplotanjakarta32c,Activity/engagement,Lokal,KOL Area,3
AMILD,kotakpandora,kotakpandora,Activity/engagement,Lokal,KOL Nasional,3
AMILD,kreakantimager,kreakantimager,Activity/engagement,Lokal,KOL Area,3
AMILD,kreakbinjai,kreakbinjai,Activity/engagement,Lokal,KOL Area,3
AMILD,kreakmedan,kreakmedan,Activity/engagement,Lokal,KOL Nasional,3
AMILD,kreasibukajalan,kreasibukajalan,Activity/engagement,Lokal,KOL Nasional,3
AMILD,legacyproject,legacyproject,Activity/engagement,Lokal,KOL Nasional,3
AMILD,loloyogueayo,loloyogueayo,Activity/engagement,Lokal,KOL Nasional,3
AMILD,loncatpagart,loncatpagart,Activity/engagement,Lokal,KOL Area,3
AMILD,loud1015,loud1015,Activity/engagement,Lokal,KOL Area,3
AMILD,louderthanever,louderthanever,Activity/engagement,Lokal,KOL Nasional,3
AMILD,makealegacy,makealegacy,Activity/engagement,Lokal,KOL Area,3
