Source,date,ECC,ACC,Convo
TW,10-01-2018,1,Super Music,Sigur Rós persembahkan festival musik di Islandia https://t.co/Qpm17QQmfc
TW,10-01-2018,1,Super Music,Gugatan pelecehan yang dilakukan @decapitated dibatalkan? Simak kelanjutan di sini https://t.co/haLoPIkZDp
TW,10-01-2018,0,Super Music,#KilasBalik2017 Ceritain juga gimana serunya! #SuperMusicID https://t.co/0e49yVfbon
TW,10-01-2018,9,Super Music,Lana Del Rey plagiat lagu 'Creep'? Simak gugatan dari @radiohead di sini https://t.co/XvLXbbTfb6
TW,10-01-2018,1,Super Music,LIKE &amp; SHARE kalau lo setuju #SuperMusicID #IDARE https://t.co/xWowX0udk5
TW,10-01-2018,0,Geo,band rock andalan aku One Ok Rock karena gaya vocal vokalisnya yang selalu beragam di panggung. dia bisa membawakan… https://t.co/0MQSskqV8c
TW,10-01-2018,0,m irfan assidiq,@ardanradio @ardanradio band rock andalan ya @thesigit band lokal tp rasa internasional apalagi aksi panggung nya c… https://t.co/Ru0P5MrXII
IG,10-01-2018,0,Muhammad Erfan N,"@ardanradio band rock andalan ya kelompok Penerbang roket, aksi panggungnya cadas dan ugal ugalan #ArdanNgejamz #SuperMusicID #CumaDiArdan"
TW,10-01-2018,0,nadha👅,"@ardanradio Sleeping with Sirens, band rock yang aksi panggungnya bikin pengen teriak sambil nangis because their l… https://t.co/skqhbjy9T4"
TW,10-01-2018,0,RM,@ardanradio NIRVANA suara emas dari Kurt Cobain bikin lagu-lagu NIRVANA membuat pendengarnya seperti ada di nirwana… https://t.co/GvU8MLTraw
TW,10-01-2018,0,Miftachul Jannah,"@ardanradio Tentunya dong Slank krn para personilny saat manggung ga monoton,pnuh semangat jingkrak"" yg nonton pun… https://t.co/MABLom6GZN"
TW,10-01-2018,0,opick,@ardanradio godfather of punk julukan Iggy pop aksi panggung gokil yg extreme seperti orng kesurupan #SuperMusicID… https://t.co/qqS201oyrV
TW,10-01-2018,0,RM,@ardanradio NIRVANA suara emas dari Kurt Cobain bikin lagu-lagu NIRVANA membuat pendengarnya seperti ada di nirwana… https://t.co/8vxensRdpa
TW,10-01-2018,0,Robby Hartono,"@ardanradio Band Rock Andalan Queen, Queen adalah band rock asal Inggris yang terknl dgn musikalitasnya, multi trac… https://t.co/2VucwSrtsY"
TW,10-01-2018,0,Info Madiun Raya,#Repost #songkowijoyo Warga Madiun jangan lewatkan kemeriahan di kotamu! #SuperMusicID Live in… https://t.co/ZYsLyCPcTP
TW,10-01-2018,0,Geo,band rock andalan aku One Ok Rock karena gaya vocal vokalisnya yang selalu beragam di atas panggung. dia bisa memba… https://t.co/4G5ZGEMLMA
IG,10-01-2018,0,komalalala,@ardanradio Rammstein ga di ragukan gi dgn aksi semburan api nya bikin penonton ngahuleung #ArdanNgejamz #SuperMusicID CumaDiArdan
