,type_post,username,name,following_count,follower_count,user_id,post_id,caption,timestamp,date_post,comment_count,like_count,retweet_count,user_likes,video_view,display_url,is_video,link,link.1,Brand,Likes_TW,Keyword/Hashtag,replies_count,Owner ID,source,ID
57339,,andrian_kontrex,,5725,2016,','1811720015,' cowolebihtautangerang  unitypitstop  respeknomorsatu ,28-07-18,,0.0,10.0,,,,,,,,Umild,,unitypitstop,,,IG,
57340,,asyehmuhammad,,4719,1462,','5325691807,' cowolebihtahu  unitypointtebo  respectnomorsatu ,11-08-18,,0.0,10.0,,,,,,,,Umild,,cowolebihtahu,,,IG,
57341,,awangdarmawan86,,357,352,','nan,' gassspoolll   unitypitstoptanjungpinang   unitypitstop2018   49starship ,12-05-18,,0.0,10.0,,,,,,,,Umild,,UnityPitstop2018,,,IG,
57342,,bascom_sampit,,1721,2767,','nan,' sampitkarnaval2018  borneoautofest2018  cowolebihtau  respeknomorsatu  unitypitstopkotim  salamsatuaspal  lebihberasaberasalebih  sampitinfo  radarsampit  infopalangkaraya  infopky  infokalteng  redaksiborneonews  infoseruyan  infopangkalanbun  infolamandau  infosukamara  infokatingan  parjo_id  sampithitz  kopdargabbikersscooter  kalteng  borneo   unitypitstopkotim   ingga_music89  solagraciaproduction  mentayascooterclub  shaggydogjogja  infoacarabikers ,26-04-18,,0.0,10.0,,,,,,,,Umild,,parjo_id,,,IG,
57343,,belatihitam,,728,648,','nan,'Are you ready?   cowolebihtau  respeknomersatu  unityteam  unityteamairmolek  forkibinhu  bikersinhu  bukberbikers2018  unitypitstop ,31-05-18,,1.0,9.0,,,,,,,,Umild,,unityteam,,,IG,
57344,,bohimfals,,5279,1592,','3606871065,' cowolebihtautangerang   unitypitstop   respeknomorsatu ,28-07-18,,0.0,10.0,,,,,,,,Umild,,unitypitstop,,,IG,
57345,,brush_borneo_community,,522,2603,','8368908311,'Prepare   event  umild  unitypitstop  cowoklebihtau  respectnomorsatu  brushborneocommunity  airbrushbalikpapan  airbrush  balikpapan  kaltim  indonesia ,07-08-18,,0.0,10.0,,,,,,,,Umild,,unitypitstop,,,IG,
57346,,pdgcity,,2128,1339,','6240923627,"'â€œUnitypitstop X PARJO PADANGâ€ â€¢ MARK YOUR CALENDAR SABTU, 4 AGUSTUS 2018 â€¢ VENUE LAP. IMAM BONJOL, PADANG â€¢ respekriding With  bingky_bikerstation X  atenx_andiakbar | Talk & Share With  onesonesan X  garduhouse | Live Barber  mchell.adriaansz X  hairnerdsstudio | Community Games | Talk And Share | Exhibitions Brand Collabs | Food Truck | Motorcycle Show | Motorcycle Pick Award | Barber Shop | Daddyâ€™s Jokes | Local Garage | Community Meet Up | Bazzar Cowo | Parjo Store â€¢ GUEST STARS  jamrud_official  jud1ka  kotakband_ â€¢ SUPPORTING  hairnerdsstudio |  bikerstation.ina |  garduhouse |  daddysjokes |  katrosgarage |  parjostore |  good.condition |  rodaduasampetua |  hammerstoutdenim |  troopercustom |  soecap |  easternwolves |  myscootersocks |  the_ipe |  kawanparjo |  mcm.live â€¢  PadangCity  KotaPadang  Padang  cowolebihtau  respeknomorsatu  unitypitstop  unitypitstopxparjo  unitypitstoppadang  kawanparjo  parjo2018  parjo  parjopadang  eventpadang ",30-07-18,,0.0,11.0,,,,,,,,Umild,,unitypitstop,,,IG,
57347,,ciklinagalih,,3284,2171,','5492746200,'ðŸ˜ðŸ˜ðŸ˜  unitypitstop  reggaefast2018  cowolebihtau ,12-08-18,,0.0,10.0,,,,,,,,Umild,,cowolebihtau,,,IG,
57348,,daniwidiarama,,4833,549,','374585887,' cowolebihtau   respeknomorsatu ,27-08-18,,0.0,10.0,,,,,,,,Umild,,cowolebihtau,,,IG,
